ID	s10	s1	s2	s3	s4	s5	s6	s7	s8	s9
k__Bacteria|p__Proteobacteria	53.05232	56.91411	0.10557	29.79577	44.50323	98.93649	99.81165	69.12678	18.89285	60.83767
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0	0.51716	0.00311	0.07851	0.0	0.03562	0.0	0.0	0.0	0.30933
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0	0.51716	0.00311	0.07851	0.0	0.03562	0.0	0.0	0.0	0.30933
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.0	0.51716	0.00311	0.07851	0.0	0.03562	0.0	0.0	0.0	0.30933
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	0.0	0.51716	0.00311	0.07851	0.0	0.03562	0.0	0.0	0.0	0.30933
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified	0.0	0.51716	0.00311	0.07851	0.0	0.03562	0.0	0.0	0.0	0.30933
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	53.05232	56.39695	0.10246	29.71726	44.50323	98.90087	99.81165	69.12678	18.89285	60.52834
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	52.56604	22.67862	0.08377	15.62346	27.38115	0.35976	99.81165	68.66098	18.77159	53.89141
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	52.56604	22.67862	0.08377	15.62346	27.38115	0.35976	99.81165	68.66098	18.77159	53.89141
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	6.73799	0.0	0.0	0.55509	1.97842	0.03333	0.00677	0.03558	0.92096	11.88283
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii	6.21818	0.0	0.0	0.55509	1.46105	0.02261	0.0058	0.02737	0.80531	7.76671
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__Citrobacter_freundii_unclassified	6.21818	0.0	0.0	0.55509	1.46105	0.02261	0.0058	0.02737	0.80531	7.76671
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_unclassified	0.51981	0.0	0.0	0.0	0.51737	0.01072	0.00097	0.00821	0.11564	4.11613
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	21.90658	17.88215	0.02359	2.28628	0.0	0.11692	0.00484	8.59333	6.87139	2.73232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae	21.90658	17.88215	0.02359	2.28628	0.0	0.11692	0.00484	8.59333	6.87139	2.73232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__Enterobacter_cloacae_unclassified	1.82035	17.88215	0.02359	2.28628	0.0	0.11692	0.00484	8.59333	1.0735	2.73232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__GCF_000492675	20.08623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.79788	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	1.61929	2.75626	0.01949	12.66751	16.25859	0.17152	0.03351	0.90024	0.49038	8.76757
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.01826	0.41563	0.00703	10.98341	9.86728	0.02766	0.02279	0.33675	0.00792	6.0784
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	0.01826	0.41563	0.00703	10.98341	9.86728	0.02766	0.02279	0.33675	0.00792	6.0784
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	1.60102	2.34063	0.01246	1.6841	6.39132	0.14386	0.01073	0.56349	0.48245	2.68917
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	22.30219	2.04021	0.04069	0.11458	9.14414	0.03798	99.76652	58.78356	10.48887	30.50869
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca	15.18754	1.05763	0.03677	0.0	6.06515	0.02147	59.97692	57.28175	7.35494	17.53077
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca|t__Klebsiella_oxytoca_unclassified	15.18754	1.05763	0.03677	0.0	6.06515	0.02147	59.97692	57.28175	7.35494	17.53077
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0.0	0.0	0.0	0.0	0.0	0.01651	0.0	1.50182	0.00362	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__Klebsiella_pneumoniae_unclassified	0.0	0.0	0.0	0.0	0.0	0.01651	0.0	1.50182	0.00362	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_unclassified	7.11465	0.98258	0.00392	0.11458	3.07899	0.0	39.7896	0.0	3.13031	12.97792
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34826	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34826	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica|t__GCF_000367425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34826	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0.0	5.50745	0.01192	0.60201	1.50467	0.01138	0.0	0.08118	0.0	1.1859
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	0.0	5.50745	0.01192	0.60201	1.50467	0.01138	0.0	0.08118	0.0	1.1859
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas	0.0	5.50745	0.01192	0.60201	1.50467	0.01138	0.0	0.08118	0.0	1.1859
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_unclassified	0.0	5.50745	0.01192	0.60201	1.50467	0.01138	0.0	0.08118	0.0	1.1859
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.48628	3.88824	0.0	9.99219	12.54366	0.09081	0.0	0.32244	0.11618	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.48628	3.88824	0.0	9.99219	12.54366	0.09081	0.0	0.32244	0.11618	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.48628	3.88824	0.0	9.99219	12.54366	0.09081	0.0	0.32244	0.11618	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.48628	3.88824	0.0	9.99219	12.54366	0.09081	0.0	0.32244	0.11618	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified	0.48628	3.88824	0.0	9.99219	12.54366	0.09081	0.0	0.32244	0.11618	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.0	24.32263	0.00677	3.4996	3.07374	98.43892	0.0	0.06219	0.00508	5.45103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0.0	0.08408	0.00139	0.11771	0.0	0.0	0.0	0.0	0.0	0.60593
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	0.0	0.08408	0.00139	0.11771	0.0	0.0	0.0	0.0	0.0	0.60593
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0	0.0	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pittii_calcoaceticus_nosocomialis|t__Acinetobacter_pittii_calcoaceticus_nosocomialis_unclassified	0.0	0.0	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_unclassified	0.0	0.08408	0.0	0.11771	0.0	0.0	0.0	0.0	0.0	0.60593
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.0	24.23855	0.00538	3.38189	3.07374	98.43892	0.0	0.06219	0.00508	4.84511
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0.0	24.23855	0.00538	3.38189	3.07374	98.43892	0.0	0.06219	0.00508	4.84511
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa	0.0	2.4747	0.00479	0.49485	0.26756	0.03498	0.0	0.00989	0.00245	0.78464
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa|t__Pseudomonas_aeruginosa_unclassified	0.0	2.4747	0.00479	0.49485	0.26756	0.03498	0.0	0.00989	0.00245	0.78464
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_alcaligenes	0.0	21.76385	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_alcaligenes|t__Pseudomonas_alcaligenes_unclassified	0.0	21.76385	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida	0.0	0.0	0.0	1.47214	1.25132	48.8474	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__Pseudomonas_putida_unclassified	0.0	0.0	0.0	1.47214	1.25132	48.8474	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	0.0	0.0	0.0	1.41491	1.55485	49.55654	0.0	0.0523	0.00263	4.06046
k__Bacteria|p__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_parvum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_parvum|t__Ureaplasma_parvum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87697
k__Viruses	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus|s__C2likevirus_unclassified	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae|g__Cavemovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae|g__Cavemovirus|s__Tobacco_vein_clearing_virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae|g__Cavemovirus|s__Tobacco_vein_clearing_virus|t__PRJNA14150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03348
