ID	s10	s1	s2	s3	s4	s5	s6	s7	s8	s9
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	21.27849	4.25594	0.00248	0.0	0.0	0.0	0.01947	12.9688	45.2718	7.71968
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	21.27849	4.25594	0.00248	0.0	0.0	0.0	0.01947	12.9688	45.2718	7.71968
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	21.27332	4.02719	0.0	0.0	0.0	0.0	0.01947	0.59655	43.08453	6.51448
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified	21.27332	4.02719	0.0	0.0	0.0	0.0	0.01947	0.59655	43.08453	6.51448
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.00517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2052
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	0.00517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2052
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0	0.22875	0.00248	0.0	0.0	0.0	0.0	11.87401	2.18727	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0.0	0.22875	0.00248	0.0	0.0	0.0	0.0	11.87401	2.18727	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49823	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49823	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04124	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04124	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04124	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_minutum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04124	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_minutum|t__GCF_000364325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04124	0.0
k__Bacteria|p__Firmicutes	25.59758	26.94388	99.86056	66.53044	51.88975	0.99027	0.13442	10.5915	23.22592	26.06363
k__Bacteria|p__Firmicutes|c__Bacilli	3.60814	21.51976	99.86056	56.71648	38.99607	0.86489	0.13442	10.03432	15.73997	16.37175
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.27893	3.15066	19.7445	12.08107	24.85432	0.50308	0.02201	0.05994	1.25376	1.6289
