#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657795_1.fastq.gz --bowtie2out /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657795.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:87664
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.01617	42082
k__Bacteria|p__Bacteroidetes	2|976	53.28979	0.00862	26595
k__Bacteria|p__Firmicutes	2|1239	42.92218	0.00694	14053
k__Bacteria|p__Proteobacteria	2|1224	2.33572	0.00038	896
k__Bacteria|p__Actinobacteria	2|201174	1.45231	0.00023	538
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	53.28979	0.00862	26595
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	40.10078	0.00648	13151
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.8214	0.00046	902
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.87062	0.0003	741
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.45231	0.00023	538
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.4651	8e-05	155
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	53.28979	0.00862	26595
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	40.10078	0.00648	13151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.8214	0.00046	902
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	1.87062	0.0003	741
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	1.45231	0.00023	538
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.4651	8e-05	155
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	53.28979	0.00862	26595
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	40.10078	0.00648	13151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	2.8214	0.00046	902
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	1.87062	0.0003	741
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	1.45231	0.00023	538
