#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657792_1.fastq.gz --bowtie2out /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657792.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:97954
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.019	48700
k__Bacteria|p__Bacteroidetes	2|976	49.12485	0.00934	28452
k__Bacteria|p__Firmicutes	2|1239	40.21273	0.00764	15499
k__Bacteria|p__Fusobacteria	2|32066	4.20391	0.0008	1944
k__Bacteria|p__Proteobacteria	2|1224	3.51523	0.00067	1526
k__Bacteria|p__Actinobacteria	2|201174	2.94329	0.00056	1279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	49.12485	0.00934	28452
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	36.40886	0.00692	14106
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	4.20391	0.0008	1944
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.52225	0.00067	1301
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.51523	0.00067	1526
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.94329	0.00056	1279
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.28162	5e-05	92
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	49.12485	0.00934	28452
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	36.40886	0.00692	14106
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	4.20391	0.0008	1944
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	3.51523	0.00067	1526
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	2.88964	0.00055	1046
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	2.1674	0.00041	944
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.77589	0.00015	335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.63262	0.00012	255
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.28162	5e-05	92
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	42.33514	0.00804	25413
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	36.40886	0.00692	14106
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	6.78971	0.00129	3039
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	4.20391	0.0008	1944
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	3.51523	0.00067	1526
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	2.88964	0.00055	1046
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	2.1674	0.00041	944
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.77589	0.00015	335
