#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657780_1.fastq.gz --bowtie2out /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657780.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:59601
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.00908	23423
k__Bacteria|p__Bacteroidetes	2|976	43.94475	0.00399	12599
k__Bacteria|p__Firmicutes	2|1239	37.20462	0.00338	7005
k__Bacteria|p__Proteobacteria	2|1224	8.80101	0.0008	1781
k__Bacteria|p__Actinobacteria	2|201174	6.53672	0.00059	1284
k__Bacteria|p__Fusobacteria	2|32066	3.51291	0.00032	754
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	43.94475	0.00399	12599
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	22.5566	0.00205	4247
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	14.64802	0.00133	2758
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	7.11734	0.00065	1472
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	6.53672	0.00059	1284
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	3.51291	0.00032	754
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.68367	0.00015	309
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	43.94475	0.00399	12599
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	22.5566	0.00205	4247
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	11.48622	0.00104	2212
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	7.11734	0.00065	1472
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	4.5073	0.00041	862
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	3.51291	0.00032	754
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	3.1618	0.00029	546
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	2.02942	0.00018	422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	1.68367	0.00015	309
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	43.94475	0.00399	12599
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	22.5566	0.00205	4247
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	11.48622	0.00104	2212
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	7.11734	0.00065	1472
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	4.5073	0.00041	862
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	2|32066|203490|203491|1129771	3.51291	0.00032	754
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	3.1618	0.00029	546
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	2.02942	0.00018	422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	1.68367	0.00015	309
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	43.94475	0.00399	12599
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	2|1239|909932|1843489|31977|29465	22.5566	0.00205	4247
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2|1239|91061|186826|1300|1301	11.48622	0.00104	2212
