X.clade_name	clade_taxid	SRR16348844_profile	SRR16348845_profile	SRR16348846_profile	SRR16348849_profile	SRR16348850_profile	SRR16348851_profile	SRR16348852_profile	SRR16348853_profile	SRR16348854_profile	SRR16348855_profile	SRR16348856_profile	SRR16348857_profile	SRR16348858_profile	SRR16348859_profile	SRR16348860_profile	SRR16348861_profile	SRR16348862_profile	SRR16348863_profile	SRR16348864_profile	SRR16348865_profile	SRR16348866_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2|976|200643|171549|815|816|821	  4721	  1929	    740	NA	   2247	NA	NA	   660	 42517	NA	NA	NA	  1827	 24364	NA	NA	 10737	  5719	NA	 15720	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus	2|1239|91061|186826|33958|1253|1255	  1545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  1023	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	2|1239|91061|186826|33958|1578|1598	  1549	 26922	NA	NA	  12157	  4716	  37993	  9915	  1787	  22179	NA	 53193	 15723	NA	  7351	 36892	  4805	 17507	  4414	 13611	   4517
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense	2|201174|1760|85004|31953|1678|518643	  1529	  2263	NA	NA	NA	NA	   1995	NA	  3512	NA	  4893	   380	  2198	  2588	  2743	  2033	NA	NA	   428	  1607	NA
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_ASF500	2|1239|||||1378168	  1838	 11333	NA	NA	NA	  2679	    603	  3497	 18838	NA	 19744	  2569	  1033	 10424	 14070	   692	  2336	  7546	   312	   626	   5762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	2|1239|186801|186802|216572|459786|1235797	  2041	NA	NA	NA	NA	    94	   5764	  6799	   730	NA	 24010	   752	NA	   288	  1557	   286	NA	  6937	   458	   380	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	2|1239|186801|186802|186803|841|166486	  1716	   629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  2213	  1036	NA	  2117	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2|201174|1760|85004|31953|1678|216816	   919	NA	NA	NA	    195	NA	NA	NA	NA	NA	NA	NA	  1528	NA	NA	NA	NA	   303	NA	    97	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2|976|200643|171549|2005525|375288|823	  1796	   662	NA	NA	NA	NA	    852	NA	NA	NA	NA	NA	   223	NA	NA	NA	   749	   223	NA	  1084	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	2|1239|186801|186802|186806|1730|39485	   900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  3285	NA	NA	NA	   739	   546	NA	  1580	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	2|1239|186801|186802|186803|189330|1235798	  1393	  8768	NA	  15461	NA	  1358	  26869	   295	 19342	   2390	 18559	  4102	NA	   189	 15946	 12756	  2176	 31101	  6872	 22961	  41405
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	2|1239|186801|186802|541000|216851|853	   444	NA	NA	NA	    158	NA	NA	NA	NA	NA	NA	NA	  2962	NA	NA	NA	NA	  1456	NA	  1363	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici	2|1239|91061|186826|33958|1253|1254	   273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Globicatella|s__Globicatella_sanguinis	2|1239|91061|186826|186827|13075|13076	   278	NA	NA	NA	NA	NA	    791	NA	  1030	NA	NA	NA	NA	NA	   590	NA	NA	NA	NA	   178	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	   362	  5520	NA	NA	   5603	NA	NA	NA	  3233	    953	    47	NA	   245	  1459	NA	NA	   289	  3159	NA	  1030	    867
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	2|1239|186801|186802|186804|1501226|1115758	   131	   525	NA	NA	NA	NA	   3710	NA	NA	NA	NA	   862	NA	NA	   836	  1215	NA	    64	   198	  3988	NA
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	2|201174|84998|1643822|1643826|553372|394340	   128	   615	NA	NA	NA	NA	NA	NA	   442	    105	  1729	NA	NA	    84	    55	NA	NA	NA	NA	    57	    490
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	2|201174|1760|85004|31953|1678|28025	    70	NA	   2905	  25331	 360797	NA	NA	NA	NA	    170	NA	NA	NA	NA	  2887	 13775	   301	NA	   852	  4054	NA
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	2|201174|84998|1643822|1643826|447020|446660	    91	   500	NA	NA	    249	NA	NA	NA	   811	    577	  1873	NA	    59	NA	NA	   146	NA	NA	NA	NA	    322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2|976|200643|171549|815|816|357276	NA	  8447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	2|1239|186801|186802|186803||39491	NA	   859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   598	NA	NA	NA	NA	  2077	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	2|976|200643|171549|2005525|375288|46503	NA	  1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1	2|1239|186801|186802|186803||1235792	NA	   367	NA	NA	NA	NA	    177	NA	NA	NA	  4489	NA	    90	NA	NA	NA	    91	NA	NA	NA	  13084
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	2|1239|186801|186802|186803||397288	NA	   300	NA	NA	NA	NA	  51402	   196	NA	NA	    98	  1569	  1761	 45491	NA	NA	NA	   406	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	NA	NA	   9139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	NA	NA	   1531	  92418	 106072	NA	    939	NA	  3061	NA	NA	NA	NA	NA	NA	  4122	NA	   165	NA	  2155	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	NA	NA	   9139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	NA	NA	   1531	  92418	 106072	NA	    939	NA	  3061	NA	NA	NA	NA	NA	NA	  4122	NA	   165	NA	  2155	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	NA	NA	   9139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	NA	NA	   1531	  92418	 106072	NA	    939	NA	  3061	NA	NA	NA	NA	NA	NA	  4122	NA	   165	NA	  2155	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	2|1224|28221|213115|194924|35832	NA	NA	   9139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	2|976|200643|171549|2005473|	NA	NA	   3098	  52924	   2946	NA	NA	NA	NA	NA	NA	NA	NA	NA	  4193	NA	NA	  6466	NA	  9163	NA
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	2|1224|28216|80840|995019|1918598	NA	NA	   1531	  92418	 106072	NA	    939	NA	  3061	NA	NA	NA	NA	NA	NA	  4122	NA	   165	NA	  2155	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	2|1224|28221|213115|194924|35832|35833	NA	NA	   9139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720	2|976|200643|171549|2005473||2094237	NA	NA	   3098	  52924	   2946	NA	NA	NA	NA	NA	NA	NA	NA	NA	  4193	NA	NA	  6466	NA	  9163	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM1	2|976|200643|171549|171552|838|2033405	NA	NA	   1827	  53539	   2514	NA	NA	NA	NA	    539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	2|976|200643|171549|815|816|310297	NA	NA	   2081	NA	NA	NA	NA	NA	NA	    337	NA	NA	  1050	  3408	NA	NA	NA	  2387	NA	NA	    235
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	2|1224|28216|80840|995019|1918598|1796652	NA	NA	   1531	  92418	 106072	NA	    939	NA	  3061	NA	NA	NA	NA	NA	NA	  4122	NA	   165	NA	  2155	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_taiwanensis	2|1239|91061|186826|33958|1578|508451	NA	NA	    575	NA	NA	NA	 233828	NA	NA	NA	NA	 51552	  2091	NA	 16928	  2347	  4550	  6758	   528	 22716	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	2|201174|1760|85004|31953|1678|1694	NA	NA	NA	  16682	 137538	NA	NA	NA	NA	  25875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_cinaedi	2|1224|29547|213849|72293|209|213	NA	NA	NA	   9300	NA	 98111	  14127	  2613	 16920	NA	  2305	 10081	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_magdeburgensis	2|1224|29547|213849|72293|209|471858	NA	NA	NA	   4698	NA	 71221	  15803	  5713	 22538	NA	   994	 11112	NA	NA	NA	NA	   501	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	2|1239|186801|186802|186803||397291	NA	NA	NA	   4647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	2|976|200643|171549|815|816|371601	NA	NA	NA	    483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caecimuris	2|976|200643|171549|815|816|1796613	NA	NA	NA	     53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis	2|1239|91061|186826|33958|1578|151781	NA	NA	NA	NA	   4871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	2|976|200643|171549|171552|838|363265	NA	NA	NA	NA	    928	NA	NA	NA	NA	    400	NA	NA	NA	NA	NA	NA	NA	  1018	NA	NA	NA
k__Bacteria|p__Deferribacteres	2|200930	NA	NA	NA	NA	NA	  8632	 392905	NA	NA	NA	  9112	  6797	 16446	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	NA	NA	NA	NA	NA	  8632	 392905	NA	NA	NA	  9112	  6797	 16446	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	NA	NA	NA	NA	NA	  8632	 392905	NA	NA	NA	  9112	  6797	 16446	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	2|200930|68337|191393|191394	NA	NA	NA	NA	NA	  8632	 392905	NA	NA	NA	  9112	  6797	 16446	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	2|200930|68337|191393|191394|248038	NA	NA	NA	NA	NA	  8632	 392905	NA	NA	NA	  9112	  6797	 16446	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4	2|1239|186801|186802|186803||397287	NA	NA	NA	NA	NA	191530	   9263	  8899	  8119	NA	NA	NA	  8063	NA	   597	   525	NA	  1160	NA	   650	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_14_2	2|1239|186801|186802|186806|1730|1235790	NA	NA	NA	NA	NA	 24151	    758	 16411	NA	NA	  1007	 14197	 53756	NA	   269	NA	NA	  2690	NA	  8664	NA
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri	2|200930|68337|191393|191394|248038|248039	NA	NA	NA	NA	NA	  8632	 392905	NA	NA	NA	  9112	  6797	 16446	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	2|1239|186801|186802|186803||397290	NA	NA	NA	NA	NA	  7673	  12176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   2124
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2	2|1239|186801|186802|186803||1235799	NA	NA	NA	NA	NA	   553	NA	  1266	NA	NA	  4786	NA	  5697	NA	 25319	NA	NA	  3000	  3609	  7435	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	NA	NA	NA	NA	NA	NA	     66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	NA	NA	NA	NA	NA	NA	     66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium	2|1239|526524|526525|128827|1937007	NA	NA	NA	NA	NA	NA	   7877	NA	NA	NA	NA	   830	  1759	NA	NA	NA	NA	   830	  2033	  7207	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	NA	NA	NA	NA	NA	NA	     66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium|s__Ileibacterium_valens	2|1239|526524|526525|128827|1937007|1862668	NA	NA	NA	NA	NA	NA	   7877	NA	NA	NA	NA	   830	  1759	NA	NA	NA	NA	   830	  2033	  7207	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_animalis	2|1239|91061|186826|33958|1578|1605	NA	NA	NA	NA	NA	NA	   1680	NA	NA	NA	NA	NA	 10731	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lentus	2|1239|91061|1385|90964|1279|42858	NA	NA	NA	NA	NA	NA	     66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	NA	NA	NA	NA	NA	NA	NA	NA	  1080	NA	  1404	NA	  1517	NA	NA	NA	NA	NA	NA	NA	    392
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	NA	NA	NA	NA	NA	NA	NA	NA	  1080	NA	  1404	NA	  1517	NA	NA	NA	NA	NA	NA	NA	    392
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius	2|1239|91061|186826|1300|1301|102684	NA	NA	NA	NA	NA	NA	NA	NA	  2310	NA	  2190	NA	NA	NA	NA	NA	NA	NA	NA	   940	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	2|1239|91061|186826|81852|1350|1351	NA	NA	NA	NA	NA	NA	NA	NA	  1080	NA	  1404	NA	NA	NA	NA	NA	NA	NA	NA	NA	    392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	2|976|200643|171549|2005525|375288|387661	NA	NA	NA	NA	NA	NA	NA	NA	   959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus	2|1239|91061|186826|33958|1578|1587	NA	NA	NA	NA	NA	NA	NA	NA	   378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	NA	NA	NA	NA	NA	NA	NA	NA	   336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_kefiri	2|1239|91061|186826|33958|1578|33962	NA	NA	NA	NA	NA	NA	NA	NA	   298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified	2|1239|186801|186802|541000|	NA	NA	NA	NA	NA	NA	NA	NA	NA	    146	NA	NA	NA	NA	NA	NA	NA	NA	NA	  2282	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	2|1239|186801|186802|541000||1535	NA	NA	NA	NA	NA	NA	NA	NA	NA	    146	NA	NA	NA	NA	NA	NA	NA	NA	NA	  2282	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma	2|1239|526524|526525|128827|1472649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  2086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor	2|1239|186801|186802|186803|1427378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa	2|1239|526524|526525|128827|1472649|1034346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  2086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus	2|1239|91061|186826|1300|1301|59310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   763	NA	NA	   232	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	2|1239|186801|186802|186803|1427378|879566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	2|976|200643|171549|815|816|329854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 15443	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 15443	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium	2|201174|1760|85006|85023|33882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 15443	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_oxydans	2|201174|1760|85006|85023|33882|82380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 15443	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	2|1239|186801|186802|186803|1407607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  1578	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	2|1239|186801|186802|186803|841|360807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  3081	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	2|976|200643|171549|815|816|28116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  4232	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	2|1239|91061|186826|81852|1350|1352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  1517	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	2|1239|186801|186802|186803|1407607|1150298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  1578	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	2|1239|186801|186802|186806|1730|1262889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   722	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	2|1239|186801|186802|186803|841|301302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   367	NA	NA	NA	NA	NA	NA	NA	NA
