clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	182	0	253884	0	38091	0	0	0	0	0	0	0	0	0	297	2035	0	0	239890
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	1133264	5649	10727	229660	20314	0	0	0	0	0	0	0	0	0	0	0	317316	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	716223	507128	972063	624314	397418	822895	1961758	684078	573939	768580	1310976	768952	816638	951837	159433	1449019	1180785	2019702	1926431
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	508326	4465609	1411467	941517	2711905	253196	2216658	75207	1412869	156999	4927	3545748	909261	891565	43648	213234	21092	3737450	2901581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis	222206	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	238346	283621	349290	121696	0	182174	108367	0	161637	93872	188571	135139	10846	103900	42635	44688	6666	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	286430	9829	16328	26472	14499	4368167	21587	5565681	29541	6684123	65602	44976	1681217	35741	2194758	5231733	546195	21357	16400
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	159752	160	192714	4512	104	0	12084	17827	0	7787	21018	0	25020	31352	649	0	78688	156587	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_791	165671	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	154069	0	0	485941	0	0	0	0	0	0	0	0	0	0	224767	0	70000	0	0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	250232	0	29387	5818	0	2610	0	0	8988	0	0	0	0	35195	39408	0	3497	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_238	98630	0	0	0	0	728	0	0	0	0	0	0	0	0	924	653	475	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	101729	16775	672	0	4616	795	17897	26432	1555	8184	0	3817	9409	917	8569	783	130606	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	70518	177	6139	20600	13093	41053	44884	2794	36125	28824	2764	0	92546	67536	15680	11349	47852	900	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_413	87060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	91781	137105	256357	580288	130864	36443	116498	0	129239	50529	573351	15660	106617	48285	60547	68493	17742	37163	77356
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180	54518	0	0	53164	41232	0	0	28512	0	3037	0	0	212852	33615	1238	325181	89900	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans	56201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	52118	40367	7585	36168	32558	13229	28137	97451	14394	12642	22013	0	18750	49188	4614	116497	46654	44266	26768
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	95476	4935	1355	5765	11658	6730	3932	8546	9353	319	18031	13593	1832	95	4260	1879	1091	0	20299
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	58126	0	0	0	61663	0	0	1296	266	0	0	0	110448	0	0	4385	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris	51096	0	1653	6827	19534	0	20920	1913	6708	0	0	33104	0	9735	0	9978	2054	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrio0ceae|g__Desulfovibrio|s__Desulfovibrio_piger	44790	0	52350	80998	0	0	0	0	0	0	0	0	0	0	91942	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intesti0lis	99499	20340	0	453	0	0	0	3835	0	6527	827108	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	47591	0	196439	281433	31013	42655	0	128576	238170	21356	0	1630	110201	13735	380	3923820	63108	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	30250	704	2790	898	10801	0	869	3026	2192	160	2966	0	2425	2034	0	0	0	14932	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	40847	61494	100817	210635	142514	12276	38910	4548	49235	4332	114111	111374	20338	78228	9924	96216	8980	62443	73643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	34906	13326	28176	7823	10413	9016	12731	8820	8264	9814	57832	30943	11991	14482	1657	12315	22242	8892	8970
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	18636	9391	6750	11157	0	21521	0	0	668	0	12966	19185	9706	4897	92733	40869	0	186	3090
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_563	22556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	16786	15792	53776	10242	0	0	0	13655	11719	0	0	0	0	0	0	0	0	54063	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	25128	93708	133453	182991	47982	93655	82339	9628	97102	33983	82809	24336	141279	5493	5089	27010	15404	244464	42523
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimo0s|s__Butyricimo0s_virosa	29901	6229	18924	9797	0	0	1214	6268	24487	225	13985	32517	4261	5927	1936	0	3068	2187	2286
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi	44368	0	0	9982	0	0	0	0	0	0	232844	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	27621	0	24743	90996	13473	0	0	1161	851465	3337	452	737606	969719	67632	0	38813	2210	0	175668
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	16724	0	407	0	0	0	0	0	0	8072	0	0	0	0	16061	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	9730	1360	0	23240	0	1486	0	393	0	0	17562	10810	0	589	25125	14803	0	0	1683
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	24936	5034	7006	71232	23495	13092	44661	158779	8121	63876	8864	85715	59814	67054	46051	43862	2447	42663	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	21188	90248	242399	49283	35189	36802	82630	35706	44112	35364	0	296515	74351	87246	37819	25003	15934	21092	39641
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	16454	43593	102058	140514	111675	448655	134316	4572	62779	278629	189257	12411	1866	222627	51058	39233	67491	5337	231432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	14338	15330	0	0	0	45014	323	0	934	0	0	0	0	0	0	1106	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	12168	0	1948	67416	0	4336	0	16650	0	1950	0	0	60625	16807	30943	998	1057400	0	128
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	15216	268134	510670	84869	101332	34583	1083860	924924	376822	257942	1633127	1256410	217759	232115	36268	786556	26635	378	299671
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	10611	3744	4656	4034	6014	1449	0	1876	1387	0	1761	0	0	0	4317	9705	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	11392	8339	84420	0	36841	13312	56283	3032	5168	0	20493	6212	25012	47601	597	44546	0	98792	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	25756	14493	141501	7210	192	0	107969	58295	46001	0	285885	303672	24000	18005	3768	7896	0	139042	55941
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	25128	428304	23876	11132	16515	42069	115667	127532	56325	31595	49796	54392	14325	117140	53323	1392	15964	148298	853160
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	11468	130039	30669	71490	21206	19024	106891	26699	103315	20636	114271	455097	69149	11951	109970	4196	14102	115923	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	12294	9736	671	2863	5316	0	558	4581	5137	1417	52330	10366	2144	6960	399	5797	0	10099	1646
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	11732	460886	43391	0	21447	11362	22772	6334	53210	4695	17686	30720	4173	84175	759	39142	5250	10095	1986
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis	6826	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_520	8858	0	379	993	591	0	0	0	0	670	51	91	436	4532	2995	0	0	273	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	4580	27487	96422	97598	74375	42359	291934	75173	53292	51359	115578	41	86074	350597	51871	73029	87162	14078	182500
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	5262	0	6414	0	29839	687	0	1499	36071	39	33343	0	3170	1104	597	1156	1943	2473	32775
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	13343	2532106	2069715	866784	653601	98122	493120	41146	706912	69825	967022	1605981	141491	353197	40426	32767	104922	1834984	1747979
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_443	8997	0	0	115196	0	0	0	0	0	0	0	0	0	123	0	5099	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	4487	0	0	1079	0	977	344	0	0	0	0	0	314	1568	373	266	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	5543	0	1650	0	0	0	0	0	0	0	0	0	12963	16112	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_AM42_24	9648	0	122	0	0	749201	372	255	64	664	188	0	0	1846	2072	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii	5951	0	0	0	0	23021	0	0	0	0	1907	0	22058	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	10271	275221	147858	100056	104416	0	0	112938	2718	35639	452	170390	580359	49003	569	1510	0	663	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	8263	229	6831	939	1183	0	804	5825	6273	475	6858	1771	3999	10756	0	94	0	221	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	12006	0	7106	0	21648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicate0	6373	9691	6574	4945	24816	10614	9586	6510	5595	10867	4173	5232	7519	54847	4924	8527	1723	7862	2231
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	4850	0	0	13717	0	44318	0	0	55630	0	0	0	0	961	33505	19779	35892	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	6188	4285	9258	10975	3490	5988	2563	1482	5855	1584	6937	2153	3011	6750	751	16073	0	661	1970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	5093	1349	1232	5740	0	0	5246	0	46595	187	25598	0	44929	2742	0	0	282	7077	498
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	8492	36303	203531	9654	4288	8950	5241	2098	53186	15632	28460	5655	143243	115953	0	15629	0	58739	2751
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	3705	13304	1046	77877	0	2909	58352	14550	3735	31764	38952	0	46813	17934	0	18073	1762	114975	55159
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	3336	0	7668	0	0	108	0	4412	2558	1695	0	0	0	4545	0	0	0	10870	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	2796	266	0	3664	0	10980	0	246	0	2083	1401	307	1081	2429	0	2337	0	532	223
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomo0dales|f__Selenomo0daceae|g__Mitsuokella|s__Mitsuokella_jalaludinii	2823	0	0	0	3567	1079	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_citroniae	7455	1198	0	3186	0	0	0	303	924	0	4781	4442	0	0	0	0	0	0	4949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	8449	0	2545	0	0	0	0	0	2378	0	16760	0	0	0	0	0	0	0	79
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	2436	678	578	511	876	837	2125	808	516	505	665	125	2658	2116	2927	1775	442	817	2294
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus	3165	0	0	717	0	0	0	0	0	1825	0	0	0	859	5097	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	2466	1350	6150	3411	12480	8376	162	1031	3160	3851	6433	3586	3691	14063	7485	40676	4099	6659	14561
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intesti0lis	3217	18913	298960	52139	15122	2175	682220	17238	15964	15519	484858	1080162	259923	93566	0	35023	198	7808	150650
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	1668	0	1427	27995	0	0	185	0	0	0	1990	18196	0	0	0	0	0	0	71248
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	1795	0	0	2188	0	0	0	0	0	0	0	0	0	0	0	0	771	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	2053	0	0	189	0	0	0	0	123	298	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182	1699	0	0	0	0	0	0	7157	0	1409	0	0	1521	22791	0	10648	618	1288	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	1629	31123	29884	25752	15018	2536	63238	5538	109510	892	58406	12684	37234	35184	6473	1739	33817	15422	129099
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	2720	0	0	0	1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp_CAG_266	797	0	77059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	1009	1442300	1247869	574761	253002	2700	841941	27728	380845	1624	2784	18058	893445	744730	287644	25128	2107	59751	585
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	898	111	0	0	0	502	489	0	447	700	636	0	105	0	307	0	0	0	108
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	730	155	0	765	0	11325	0	0	42	0	1015	610	853	0	0	76	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimo0s|s__Intestinimo0s_butyriciproducens	1060	0	0	1235	12652	0	880	0	113	0	0	0	0	0	0	0	255	0	4314
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_obeum_CAG_39	848	40	1696	474	0	0	0	0	0	0	0	848	0	848	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	681	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	1218
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai	1446	0	0	0	0	0	741	0	0	3337	1446	0	0	0	0	8048	2142	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3439	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	514	0	0	0	0	189	164	835	1083	336	494	530	0	2206	900	1664	1111	2225	355
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrio0ceae|g__Bilophila|s__Bilophila_wadsworthia	989	0	8982	993	0	12102	3389	6222	17241	1690	28914	15160	8625	5941	929	2766	1952	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	1213	0	4853	0	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	443	1254	0	0	197	496	457	818	213	82	2305	1219	1779	2054	2073	3542	952	1081	2299
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	459	0	0	0	0	0	0	0	0	0	0	0	0	233	0	492	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	340	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	1056	368367	14769	0	0	0	19663	14258	17615	623	255	1340738	2141	59225	9676	9746	2257	120661	157225
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	353	337	0	0	0	1695	0	132	0	0	1033	2962	0	0	0	0	0	362	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	350	0	0	0	0	0	66	0	530	1033	872	827	0	209	215	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromo0daceae|g__Porphyromo0s|s__Porphyromo0s_somerae	246	795	0	0	0	219	29	30	0	0	0	0	0	302	218	218	0	648	316
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	242	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	458	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__A0eromassilibacillus|s__A0eromassilibacillus_sp_An250	321	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_histicola	268	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	157
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	226	3673	1460	11474	35377	0	1523	110	21795	548	8460	4427	3131	17942	0	34963	7518	1047	105
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_488	140	0	0	0	0	10940	0	0	0	0	0	0	0	0	0	0	15664	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	182	0	144904	0	38091	0	0	0	0	0	0	0	0	0	297	2035	0	0	239890
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	45	283615	31921	64903	58113	248	9788	4274	8403	10893	894011	26272	77777	120405	4147	242	174900	52482	92
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	45	447	1040	2065	2268	172	1917	1184	4982	0	6782	3541	515	6443	2136	5370	1111	2550	380
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	0	1527	41337	0	0	125	4397	0	267	0	0	4703	12220	3714	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0	58624	43442	35562	0	7126	138902	508	6363	1002	3013	108653	8015	17407	1075	0	487	9301	103
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	0	1527	41337	0	0	125	4397	0	267	0	0	4703	12220	3714	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	136	0	0	1723	0	0	579	140	380	47	1275	800	0	2511	0	0	1793	1813
