clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	5951	13977	779	66076	24617	31600	138576	293	31603	10141	1977	16940	215181	51500	3354	9159	0	24987	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	4782	0	7668	1316	721	108	741	4412	15521	5032	30857	0	713	4545	0	8048	2142	10870	1412
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomo0dales	2823	0	0	0	3567	1533	0	0	0	0	57659	18614	0	25821	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1412	111	0	0	0	691	653	835	1530	1036	1130	530	105	2206	1207	1664	1111	2225	463
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	681	0	0	0	0	0	0	0	0	144	0	158	80	157	390	573	0	386	1218
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	443	1254	0	0	197	496	457	818	213	82	2305	1353	1779	2054	2073	3542	952	1081	2299
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	340	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	353	673	0	0	0	1695	0	132	0	0	1492	5010	0	0	0	0	0	1066	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1376890	557278	1290453	696565	581991	867725	2083490	745016	634639	794092	1536640	1196352	997181	1083787	171276	1527778	1312504	2290376	1995074
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	1133264	5649	10727	229660	20314	0	0	0	0	0	0	0	0	0	0	0	317316	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	666642	1275181	1779534	1683098	582405	866140	2246202	1281488	1096996	796059	3150417	2788149	848084	1053877	434931	5131139	274940	430455	833193
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	724064	9696997	5571392	3398547	3905216	584783	3312400	477449	3965065	390303	7100348	10755629	2389541	1934820	257819	320657	643612	7140777	6765581
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	303305	321	8769	81133	29839	50069	0	18149	91701	10061	33343	0	64221	18872	82030	22586	1095710	2473	32903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	308172	10507	1221834	29081	54057	5974101	1226577	5909059	129715	6827242	69684	51385	1709911	936638	2774542	5235589	668100	26283	259401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	172154	171903	314911	740850	210119	40171	185655	58011	218065	86065	662212	23628	414857	127000	63921	452821	118315	219756	133498
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	137522	17479	40048	898	55849	795	18963	41887	8161	8344	4439	3817	28366	24489	8569	783	156573	20992	0
